Name,Salary,#,Make,Team,Crew Chief,Car Stats,CC Stats,Win,Top 3,Laps,Rk,Diff,3 Lap,5 Lap,10 Lap,15 Lap,Laps,Rk,Diff,5 Lap,10 Lap,15 Lap,20 Lap,Own %,Start,Fin,Lead,Fast,FP,Value,Own %,Driver Rating,Start,Fin,Lead Laps,Fast Laps,Laps Ran,Avg Run Pos,Avg Pos Stg1,Avg Pos Stg2,Avg Pos Stg3,Por,CotA,Cha,WG,Ind,RA,Por,CotA,Cha,Ind,WG,Roa,CotA,Day,22,21,20,19,18,17,16,15,14,13,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,#,DNF,DNF %,Driver Rating,Avg Run Pos,Avg Fin,Lead Laps,Fast Laps,% of Laps Fin,Lead Lap Fin %,Fin <2 Laps Behind,Fin <5 Laps Behind,Fin<10 Laps Behind,Races,Top 35,Top 30,Top 25,Top 20,Top 15,Top 10,Top 5,Wins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Chastain,8900,91,Chevy,,Mario Gosselin,Link,Link,23,,9,9,-1.58,10,8,,,,,,,,,,18%,15,10,1,1,#REF!,,,,,,,,,,,,,,,,28,4,,,17,,,,,30,,,,,,,,,,,,,,,,,,,,3,0,0%,95.7,10.3,16.3,8.1,1.7,22,4,18%,81.3,14.4,14.4,1.5,0.3,8,0,0%,50.5,25.4,24.3,0.0,0.0,93%,68%,68%,82%,82%,22,95%,86%,73%,73%,45%,23%,9%,0
Sam Mayer,8600,1,Chevy,,Mardy Lindley,Link,Link,41,,14,21,-2.18,18,14,10,,,,,,,,,5%,6,10,1,1,#REF!,,,,,,,,,,,,,3,7,11,6,7,20,38,5,10,27,10,35,,,,,,,,,,,,,,,,,,,,,8,1,13%,96.2,12.3,8.4,0.7,1.5,12,3,25%,94.7,12.1,8.8,0.6,1.3,8,1,13%,93.7,12.4,12.7,3.0,2.5,85%,75%,75%,75%,83%,12,92%,83%,75%,75%,67%,58%,17%,0
Parker Kligerman,8400,48,Chevy,,Patrick Donahue,Link,Link,29,,13,6,-1.41,8,5,5,,,,,,,,,10%,12,11,1,3,#REF!,,,,,,,,,,,,,14,31,,,37,,,12,,,,,,,,,,,,,,,,,,,,,,,,,4,1,25%,80.6,12.7,19.0,0.6,4.5,8,1,13%,87.7,12.7,12.7,2.1,2.7,8,2,25%,79.7,15.0,12.3,0.0,0.6,90%,88%,88%,88%,88%,8,88%,75%,75%,75%,75%,38%,13%,0
Sammy Smith,8200,18,Toyota,,Jeff Meendering,Link,Link,23,,14,15,-1.87,16,17,9,,,,,,,,,6%,10,11,0,1,#REF!,,,,,,,,,,,,,30,4,,3,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0%,86.4,16.3,15.3,1.5,2.1,4,0,0%,86.4,16.3,15.3,1.5,2.1,8,0,0%,101.9,10.9,10.6,7.4,4.4,98%,50%,50%,50%,75%,4,100%,100%,75%,50%,50%,50%,50%,0
Josh Berry,8000,8,Chevy,,Taylor Moyer,Link,Link,51,,13,14,-1.82,13,13,11,,,,,,,,,15%,19,13,0,1,#REF!,,,,,,,,,,,,,4,8,8,9,14,3,4,27,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0%,83.2,14.6,9.6,0.8,0.7,9,0,0%,81.1,15.4,9.4,0.7,0.6,8,0,0%,101.3,9.8,6.1,3.9,3.0,100%,100%,100%,100%,100%,9,100%,100%,89%,89%,89%,78%,33%,0
Brandon Jones,7800,9,Chevy,,Jason Burdett,Link,Link,130,,14,27,-2.67,24,19,22,,,,,,,,,26%,28,17,0,1,#REF!,,,,,,,,,,,,,13,11,7,24,15,5,11,18,5,36,6,19,17,4,,,,,,,,,,,,,,,,,,,8,0,0%,84.2,15.1,13.0,0.4,0.6,34,2,6%,78.6,15.8,13.6,0.5,0.5,8,1,13%,87.4,12.1,17.1,1.1,2.6,96%,94%,94%,94%,94%,34,94%,94%,91%,79%,56%,32%,15%,0
Chandler Smith,7600,16,Chevy,,Bruce Schlicker,Link,Link,130,,16,11,-1.62,9,10,16,,,,,,,,,19%,20,14,0,0,#REF!,,,,,,,,,,,,,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0%,72.1,19.5,10.5,0.0,0.0,2,0,0%,72.1,19.5,10.5,0.0,0.0,8,1,13%,107.6,6.9,7.0,10.7,3.2,100%,100%,100%,100%,100%,2,100%,100%,100%,100%,100%,50%,0%,0
Kaz Grala,7500,26,Toyota,,Allen Hart,Link,Link,250,,8,30,-2.87,29,34,,,,,,,,,,14%,27,18,0,0,#REF!,,,,,,,,,,,,,26,18,35,5,32,,,,,,,18,,,,,,,,,,,,,,,,,,,,,5,1,20%,72.7,16.5,20.3,0.0,0.3,13,2,15%,77.8,15.3,15.4,0.3,0.3,8,0,0%,72.1,16.9,15.8,0.0,0.3,96%,77%,77%,85%,85%,13,100%,77%,62%,62%,46%,31%,23%,0
Riley Herbst,7300,98,Ford,,Richard Boswell,Link,Link,130,,15,13,-1.77,14,18,19,,,,,,,,,17%,23,16,0,0,#REF!,,,,,,,,,,,,,32,10,32,7,6,7,35,26,34,8,13,7,16,39,,,,,,,,,,,,,,,,,,,8,2,25%,88.6,13.5,14.7,0.8,0.2,19,4,21%,85.1,13.2,15.2,1.1,0.1,8,2,25%,94.0,10.2,12.8,1.4,2.4,91%,68%,68%,68%,74%,19,95%,68%,63%,53%,47%,37%,0%,0
Daniel Hemric,7200,11,Chevy,,Jason Trinchere,Link,Link,130,,18,10,-1.58,7,6,3,,,,,,,,,5%,8,13,0,1,#REF!,,,,,,,,,,,,,33,6,17,31,22,29,6,25,3,12,22,2,29,3,,,,,,,,,,,,,,,,,,,8,3,38%,82.6,14.4,15.2,0.0,0.3,25,5,20%,94.5,10.7,11.1,4.2,2.2,8,0,0%,88.8,12.1,13.9,0.0,0.8,89%,80%,80%,80%,84%,25,96%,84%,76%,64%,56%,40%,28%,0
Aric Almirola,7100,28,Ford,,Allen Chambers,Link,Link,250,,15,7,-1.47,6,4,4,,,,,,,,,11%,4,10,1,2,#REF!,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0%,58.2,22.0,24.0,0.0,0.0,2,0,0%,82.3,15.5,14.5,0.0,0.0,8,1,13%,53.5,23.7,23.0,0.0,0.0,100%,100%,100%,100%,100%,2,100%,100%,100%,50%,50%,50%,50%,0
